qd1,qd2,phrase1,phrase2,label
5605,5606,and she blushed with he looked at her and she sitting her hands clasped around her knees and the shirt open at the throat the cup of her breasts uptilted against the shirt and as he thought of her his throat was choky and there was a difficulty in walking and he and anselmo spoke no more until the old man said nowwe go down through these rocks and to the camp,as they came through the rocks in the dark a man spoke to them halt,hemingway
5607,5608,who goes,they heard a rifle bolt snick as it was drawn back and then the knock against the wood as it was pushed forward and down on the stock,hemingway
5609,5610,comrades anselmo said,what comrades,hemingway
5611,5612,comrades of pablo the old man told him,dost thou not knowus,hemingway
5613,5614,yes the voice said,but it is an order,hemingway
5615,5616,have you the password,no,hemingway
5617,5618,we come from below,i know the man said in the dark,hemingway
5619,5620,you come from the bridge,i knowall of that,hemingway
5621,5622,the order is not mine,you must knowthe second half of a password,hemingway
5623,5624,what is the first half then,robert jordan said,hemingway
5625,5626,i have forgotten it the man said in the dark and laughed,go then unprintably to the campfire with thy obscene dynamite,hemingway
5627,5628,that is called guerilla discipline anselmo said,uncock thy piece,hemingway
5629,5630,it is uncocked the man said in the dark,i let it down with my thumb and forefinger,hemingway
5631,5632,thou wilt do that with a mauser sometime which has no knurl on the bolt and it will fire,this is a mauser the man said,hemingway
5633,5634,but i have a grip of thumb and forefinger beyond description,always i let it down that way,hemingway
5635,5636,where is the rifle pointed,asked anselmo into the dark,hemingway
5637,5638,at thee the man said all the time that i descended the bolt,and when thou comest to the camp order that some one should relieve me because i have indescribable and unprintable hunger and i have forgotten the password,hemingway
5639,5640,howart thou called,robert jordan asked,hemingway
5641,5642,agustin the man said,i am called agustin and i am dying with boredom in this spot,hemingway
5643,5644,we will take the message robert jordan said and he thought howthe word aburmiento which means boredom in spanish was a word no peasant would use in any other language,yet it is one of the most common words in the mouth of a spaniard of any class,hemingway
5645,5646,listen to me agustin said and coming close he put his hand on robert jordans shoulder,then striking a flint and steel together he held it up and blowing on the end of the cork looked at the young mans face in its glow,hemingway
5647,5648,you look like the other one he said,but something different,hemingway
5649,5650,listen he put the lighter down and stood holding his rifle,tell me this,hemingway
5651,5652,is it true about the bridge,what about the bridge,hemingway
5653,5654,that we blowup an obscene bridge and then have to obscenely well obscenity ourselves off out of these mountains,i knownot,hemingway
5655,5656,y ou knownot agustin said,what a barbarity,hemingway
5657,5658,whose then is the dynamite,mine,hemingway
5659,5660,and knowest thou not what it is for,do not tell me tales,hemingway
5661,5662,i knowwhat it is for and so will you in time robert jordan said,but nowwe go to the camp,hemingway
5663,5664,go to the unprintable agustin said,and unprint thyself,hemingway
5665,5666,but do you want me to tell you something of service to you,yessaidrobertjordan,hemingway
5667,5668,ifitisnot unprintable naming the principal obscenity that had larded the conversation,the man agustin spoke so obscenely coupling an obscenity to every noun as an adjective using the same obscenity as a verb that robert jordan wondered if he could speak a straight sentence,hemingway
5669,5670,agustin laughed in the dark when he heard the word,it is a way of speaking i have,hemingway
5671,5672,maybe it is ugly,who knows,hemingway
5673,5674,each one speaks according to his manner,listen to me,hemingway
5675,5676,the bridge is nothing to me,as well the bridge as another thing,hemingway
5677,5678,also i have a boredom in these mountains,that we should go if it is needed,hemingway
5679,5680,these mountains say nothing to me,that we should leave them,hemingway
5681,5682,but i would say one thing,guard well thy explosive,hemingway
5683,5684,thank you robert jordan said,from thee,hemingway
5685,5686,no agustin said,from people less unprintably equipped than i,hemingway
5687,5688,so,asked robert jordan,hemingway
5689,5690,you understand spanish agustin said seriously now,care well for thy unprintable explosive,hemingway
5691,5692,thank you,no,hemingway
5693,5694,do not thank me,look after thy stuff,hemingway
5695,5696,has anything happened to it,no or i would not waste thy time talking in this fashion,hemingway
5697,5698,thank you all the same,we go nowto camp,hemingway
5699,5700,good said agustin and that they send some one here who knows the password,will we see you at the camp,hemingway
5701,5702,yes man,and shortly,hemingway
5703,5704,come on robert jordan said to anselmo,they were walking down the edge of the meadownowand there was a gray mist,hemingway
